MPN_Index,Tube_1,Tube_2,Tube_3
<0.03,0,0,0
0.030,0,0,1
0.030,0,1,0
0.061,0,1,1
0.062,0,2,0
0.094,0,3,0
0.036,1,0,0
0.072,1,0,1
0.110,1,0,2
0.074,1,1,0
0.110,1,1,1
0.110,1,2,0
0.150,1,2,1
0.160,1,3,0
0.092,2,0,0
0.140,2,0,1
0.020,2,0,2
0.150,2,1,0
0.200,2,1,1
0.270,2,1,2
0.210,2,2,0
0.280,2,2,1
0.350,2,2,2
0.290,2,3,0
0.360,2,3,1
0.230,3,0,0
0.380,3,0,1
0.640,3,0,2
0.430,3,1,0
0.750,3,1,1
1.200,3,1,2
1.600,3,1,3
0.930,3,2,0
1.500,3,2,1
2.100,3,2,2
2.900,3,2,3
2.400,3,3,0
4.600,3,3,1
11.000,3,3,2
>11.000,3,3,3
